"P_1","P_2","P_3","P_4","P_5","P_6","P_7","P_8","P_9","P_10","P_11","P_12","P_13","P_14","P_15","P_16","P_17","P_18","P_19","P_20","P_21","P_22","P_23","P_24","P_25","P_26","P_27"
1078.98344108408,1003.7287948699,965.789614435749,949.571632711321,909.000889947045,1317.27517827363,1448.68066365544,1910.27782208975,2622.3407395593,3045.59766576189,3918.95670084607,7364.08079716097,5181.28307506476,6000.69318779395,6743.68613073163,1406.92399172024,7800.45719749232,6699.69796311035,7118.06722766645,7455.99707764384,8126.51547119587,8555.07198531224,8037.39527875126,7435.62843972349,7550.5120342533,8138.24483612677,7911.35153605011
1076.5051567276,1000.30344676486,964.367459890572,946.085613433142,919.843723497953,1352.01155511665,1466.17216781998,2062.22748184314,2692.3700556932,3114.25935910364,3945.08838290142,7325.0824159021,5572.1888812029,6036.56904490069,6771.3862237517,1355.65194137735,7834.28127834259,6735.6228719216,7097.96832046823,7511.47912808734,8099.2289187755,8549.29450856825,8048.00833323622,7479.18572732748,7600.85564601164,8219.79984216402,8069.63697660727
1073.78760596637,996.788531206785,962.913601145253,942.631724840513,930.507165908069,1362.91472781672,1455.04076635075,2121.86754217149,2609.87581496371,3057.07542312023,3839.10132260179,7197.50277912237,5821.36856338722,5938.41707190751,6705.67705504183,1283.27096266306,7800.87834849347,6739.82967371033,7076.47362984145,7585.540574278,8069.68669524827,8535.369967389,8042.90570524749,7530.40596822165,7650.20797692381,8281.68240367273,8206.66248489979
1070.89773314822,993.233933356311,961.466103185571,939.249473484237,934.986196102221,1348.17418901352,1419.07228099386,2064.14071617843,2396.87188036067,2817.81252808063,3575.12433212165,6977.55691177763,5843.08922329226,5684.36771418239,6561.27293331763,1190.89066220087,7693.12739449849,6712.87976877124,7045.31139937845,7648.39256554364,8035.5856033982,8513.66705106909,8018.84197886829,7581.70240304318,7696.34898957027,8312.41045848749,8313.7417936122
1067.84769367128,989.682801307028,960.0755855135,935.985948805329,933.430671889313,1302.44405229465,1380.13355189924,1956.82438768322,2164.11952469591,2536.74443452993,3245.40313163454,6657.50656489432,5642.10955824071,5295.71615298598,6339.63609002923,1076.4589657568,7485.28613109168,6654.86680806573,6997.37907635395,7684.30748934188,7995.41532212657,8484.98013711781,7983.84511973672,7630.3903530389,7737.93723459684,8315.35177568776,8386.15552124552
1064.70487635368,986.234772094781,958.792252216115,932.899188154501,930.247111549301,1245.31490503391,1355.4531988924,1805.29709205398,1982.6863797506,2303.30671413837,2858.40336675335,6252.101466208,5252.5564433584,4857.12856432366,6047.30875809379,940.876917055476,7184.2144847309,6565.39522667452,6926.37488141565,7690.75941403688,7948.15626621339,8450.74916546471,7951.906234037,7677.86654934562,7774.19778720873,8308.19275061885,8423.47626571537
1061.55242306496,983.002494779189,957.643958741375,930.033123354855,924.820431431054,1200.19913606036,1338.7947721074,1688.68805023417,1859.73125828136,2133.79298636567,2532.79461064112,5780.80356210832,4779.87442426177,4396.24470185447,5684.9978706326,786.022853462728,6824.23064178487,6447.54355534179,6830.13991058385,7666.30571849977,7893.41401791285,8410.2233989362,7923.2605000106,7716.40763397205,7805.33526333188,8309.37306853656,8427.12326242851
1058.5275689746,980.165775547071,956.657854441711,927.434653705102,920.509924547965,1174.28786197389,1332.63135537416,1623.61692907422,1765.62365722818,2021.13231970658,2296.27108889217,5278.79352909966,4296.79982957296,3968.37189491867,5270.37054555126,611.789642242877,6439.82188137819,6302.70355889568,6706.87938754028,7610.21344874101,7831.17673642183,8363.08012436553,7910.17924025857,7739.3764513987,7831.82682540127,8344.53678161397,8399.39730731913
1055.73851818285,977.90797270765,955.848928478523,925.154869328604,914.89440934826,1161.72942439127,1333.12220912051,1587.98722080513,1705.60013883595,1947.17916244591,2148.92445763518,4780.63546121566,3858.8537679142,3609.57239719396,4837.17460518812,420.624480316816,6041.25492955077,6131.92800083742,6556.3343815206,7526.02532114271,7761.32323073046,8309.22548097253,7933.34882148749,7742.51874574185,7852.44437400346,8381.04567882309,8340.09927507139
1053.31674271723,976.269887422105,955.252082471403,923.272497134938,909.692116556984,1157.88363248517,1334.78332687723,1564.92923159559,1674.38639512692,1892.38880705014,2052.43034099298,4310.04826391706,3503.22263465201,3317.85867085418,4425.52889558754,215.386960227293,5636.61571900757,5939.13404053209,6381.19134084021,7418.79245221607,7684.31685072546,8249.0165095408,7967.10772172889,7725.22285892522,7866.45549958864,8395.2491910695,8252.05723560618
1051.28955617986,975.303154178312,954.907700188206,921.864632737395,903.062961879882,1155.99773915234,1334.5710344675,1551.74123027911,1642.72268375032,1837.583200653,1994.03773055569,3901.21952207029,3214.99084558744,3056.55515497721,4058.30247680956,2.81721893404836,5221.78433310308,5728.9522677198,6184.80612468982,7292.37906926422,7600.97786171686,8183.32073668139,7993.81270503331,7689.89120610167,7873.57836953296,8370.01040515052,8138.04192036795
